climb_id,technical_grade,eastings,northings
110207,5c,219204.4992252532,466429.4104412679
218596,6a,219204.4992252532,466429.4104412679
308023,6a,219204.4992252532,466429.4104412679
308113,5c,219204.4992252532,466429.4104412679
227481,5c,217734.6811212606,467378.27797966206
356753,5c,217734.6811212606,467378.27797966206
181544,6a,238852.55089442807,395323.23268473573
181547,6a,238852.55089442807,395323.23268473573
181554,5c,238852.55089442807,395323.23268473573
124200,5b,241893.3227397281,394775.29308989487
100292,5c,252180.03774969623,383420.6686201029
31705,5c,276593.2134402741,384282.24110585154
31718,6a,276593.2134402741,384282.24110585154
31720,5c,276593.2134402741,384282.24110585154
35036,6a,276593.2134402741,384282.24110585154
306065,6a,276523.7491074542,384172.73671148764
411016,6a,353605.57373388304,461125.4802129568
309311,6b,363402.20141952054,457810.7058362281
236936,6a,368856.36401786475,440524.4533034307
446445,6b,368856.36401786475,440524.4533034307
391537,6c,349084.2600950174,472745.7505058509
9032,6a,349084.2600950174,472745.7505058509
9054,6b,349084.2600950174,472745.7505058509
155550,6b,348073.0806689654,475761.53178674856
21678,5c,348073.0806689654,475761.53178674856
41793,5c,348073.0806689654,475761.53178674856
41795,6a,348073.0806689654,475761.53178674856
456240,5c,348073.0806689654,475761.53178674856
501178,6a,348073.0806689654,475761.53178674856
503173,6a,348073.0806689654,475761.53178674856
59342,5c,348073.0806689654,475761.53178674856
65203,6a,348073.0806689654,475761.53178674856
94206,6a,348073.0806689654,475761.53178674856
447524,6a,365807.0079160973,428306.7549047108
447525,6b,365807.0079160973,428306.7549047108
19522,5c,359230.21410135017,422796.2748427666
196521,5c,359230.21410135017,422796.2748427666
91357,6a,359230.21410135017,422796.2748427666
91369,6a,359230.21410135017,422796.2748427666
3839,6b,348630.07918521576,478871.0608963523
3861,5c,348630.07918521576,478871.0608963523
476581,6a,353921.550926039,479593.90736886207
9317,6a,380974.63477658125,444464.47640586353
9343,5c,380974.63477658125,444464.47640586353
9344,6a,380974.63477658125,444464.47640586353
9346,6a,380974.63477658125,444464.47640586353
325640,6a,372219.4638262982,474662.1379847473
325641,6a,372219.4638262982,474662.1379847473
123932,6b,377999.7847706872,468288.5188303022
123936,6a,377999.7847706872,468288.5188303022
60049,6a,379689.303222013,465944.1335133703
347630,5c,371706.75259431975,476223.049496148
48708,5c,371706.75259431975,476223.049496148
53386,6a,371706.75259431975,476223.049496148
53387,6a,371706.75259431975,476223.049496148
12871,5c,380732.15638453123,465049.51288255735
12873,5c,380732.15638453123,465049.51288255735
73355,5c,373981.6179680434,474540.55127606855
176876,6a,379501.4998948693,467836.51013770164
104125,5c,378271.29058411217,470401.3183421211
104126,5c,378271.29058411217,470401.3183421211
12991,5c,378271.29058411217,470401.3183421211
347637,5c,378271.29058411217,470401.3183421211
60349,5c,378271.29058411217,470401.3183421211
5490,6a,361885.50286273274,416431.8862776772
5540,6a,361885.50286273274,416431.8862776772
5541,5c,361885.50286273274,416431.8862776772
214491,6a,379771.36340786074,469726.86356986186
128521,6a,378083.7382672363,472182.50100360124
128524,5c,378083.7382672363,472182.50100360124
128525,6a,378083.7382672363,472182.50100360124
128529,6a,378083.7382672363,472182.50100360124
12819,6c,383476.76269459276,464148.7029473422
12836,6a,383476.76269459276,464148.7029473422
355121,6a,383476.76269459276,464148.7029473422
61602,6a,383476.76269459276,464148.7029473422
98317,6a,383476.76269459276,464148.7029473422
98318,6a,383476.76269459276,464148.7029473422
98321,6b,383476.76269459276,464148.7029473422
98348,6c,383476.76269459276,464148.7029473422
98349,6c,383476.76269459276,464148.7029473422
98369,6a,383476.76269459276,464148.7029473422
98377,6a,383476.76269459276,464148.7029473422
98415,6b,383476.76269459276,464148.7029473422
98416,5c,383476.76269459276,464148.7029473422
98630,6a,383476.76269459276,464148.7029473422
98634,5c,383476.76269459276,464148.7029473422
485644,5c,344807.2826021754,486482.42933987686
7680,5c,344807.2826021754,486482.42933987686
139502,6a,376268.19435826957,423568.86886243994
347008,6a,376268.19435826957,423568.86886243994
417988,6a,376268.19435826957,423568.86886243994
8547,6a,376268.19435826957,423568.86886243994
8554,5c,376268.19435826957,423568.86886243994
95517,6a,376268.19435826957,423568.86886243994
37689,6a,370821.482195841,418147.9118128393
1398,5c,370820.78887233895,418036.65539482696
1414,6a,370820.78887233895,418036.65539482696
58135,6a,350914.6492240233,410525.4925116398
66771,5c,350914.6492240233,410525.4925116398
93043,6a,350914.6492240233,410525.4925116398
177311,5c,382404.46288840345,474611.8031275957
177313,5c,382404.46288840345,474611.8031275957
177316,6b,382404.46288840345,474611.8031275957
3435,6b,321114.9014106986,479928.43584433687
17172,6a,369667.0821002805,413371.0413376292
17178,6a,369667.0821002805,413371.0413376292
17179,5c,369667.0821002805,413371.0413376292
17186,6a,369667.0821002805,413371.0413376292
17199,6a,369667.0821002805,413371.0413376292
17202,6a,369667.0821002805,413371.0413376292
17082,5c,369997.13365682744,413257.65826775297
17086,5c,369997.13365682744,413257.65826775297
17111,5b,369997.13365682744,413257.65826775297
17122,6a,369997.13365682744,413257.65826775297
17125,5c,369997.13365682744,413257.65826775297
17126,5c,369997.13365682744,413257.65826775297
17131,6a,369997.13365682744,413257.65826775297
17144,5c,369997.13365682744,413257.65826775297
17156,5c,369997.13365682744,413257.65826775297
35287,6a,369997.13365682744,413257.65826775297
361317,6a,369997.13365682744,413257.65826775297
361322,6a,369997.13365682744,413257.65826775297
361324,5c,369997.13365682744,413257.65826775297
67163,5c,369997.13365682744,413257.65826775297
91578,6a,369997.13365682744,413257.65826775297
91584,5c,369997.13365682744,413257.65826775297
91598,5c,369997.13365682744,413257.65826775297
91617,6a,369997.13365682744,413257.65826775297
91657,6a,369997.13365682744,413257.65826775297
91660,5c,369997.13365682744,413257.65826775297
3549,5c,371921.60471326386,414247.07877249405
3559,5c,371921.60471326386,414247.07877249405
3571,6b,371921.60471326386,414247.07877249405
3573,5c,371921.60471326386,414247.07877249405
3581,5c,371921.60471326386,414247.07877249405
3590,5c,371921.60471326386,414247.07877249405
3591,5c,371921.60471326386,414247.07877249405
3592,5b,371921.60471326386,414247.07877249405
3619,5c,371921.60471326386,414247.07877249405
3630,6a,371921.60471326386,414247.07877249405
3632,5c,371921.60471326386,414247.07877249405
3644,5c,371921.60471326386,414247.07877249405
3652,6a,371921.60471326386,414247.07877249405
3660,5c,371921.60471326386,414247.07877249405
452890,5c,371921.60471326386,414247.07877249405
457164,6a,371921.60471326386,414247.07877249405
47328,6a,371921.60471326386,414247.07877249405
363090,5c,373112.1291899365,414240.0979905118
5825,5c,373112.1291899365,414240.0979905118
5826,5c,373112.1291899365,414240.0979905118
5837,6a,373112.1291899365,414240.0979905118
5840,6a,373112.1291899365,414240.0979905118
12448,5c,397417.2393235174,468347.68422257586
12465,5c,397417.2393235174,468347.68422257586
145624,6a,397417.2393235174,468347.68422257586
146194,5c,397417.2393235174,468347.68422257586
176916,5c,397417.2393235174,468347.68422257586
195554,6a,397417.2393235174,468347.68422257586
159827,5c,400885.8155208441,446650.47444644384
159830,6a,400885.8155208441,446650.47444644384
159832,5c,400885.8155208441,446650.47444644384
159833,5c,400885.8155208441,446650.47444644384
159904,5c,400885.8155208441,446650.47444644384
263570,5b,395016.25958284264,424846.1459619546
12392,5c,399182.0138033372,466344.2090265048
12402,5c,399182.0138033372,466344.2090265048
12404,5c,399182.0138033372,466344.2090265048
117778,6a,326146.87204775074,496649.8202022731
338300,5c,330797.57044005475,499025.46483274887
80347,5c,329490.0638496444,498488.9982073568
80349,5c,329490.0638496444,498488.9982073568
80354,6a,329490.0638496444,498488.9982073568
80355,5c,329490.0638496444,498488.9982073568
235156,6a,327465.90035291447,497852.9209300275
5709,5c,395475.6642395874,422286.72527637664
5711,5c,395475.6642395874,422286.72527637664
220603,5c,398514.74783265055,427736.37670804583
28491,5c,398514.74783265055,427736.37670804583
318166,5c,398514.74783265055,427736.37670804583
455792,6a,398514.74783265055,427736.37670804583
242255,6a,398184.67770415766,426957.6881041499
448265,5b,394812.8868277384,420062.2660986859
113243,5b,403175.70499950106,460336.8147990486
113244,5c,403175.70499950106,460336.8147990486
126766,5c,403175.70499950106,460336.8147990486
4616,5c,377886.8539378408,416885.3403347324
4617,5c,377886.8539378408,416885.3403347324
146454,6a,390026.0044495206,466688.91264323215
12738,6a,391591.10956814827,464237.9197756887
12751,5c,391591.10956814827,464237.9197756887
12785,5c,391591.10956814827,464237.9197756887
201473,5c,391591.10956814827,464237.9197756887
347448,6b,392127.1086523642,433305.89967831003
347451,5c,392127.1086523642,433305.89967831003
347452,6a,392127.1086523642,433305.89967831003
451805,5b,380726.0701858054,416093.96685883706
6393,5c,380726.0701858054,416093.96685883706
72784,6a,392322.49968267954,431970.44885070005
437962,6a,393313.1196385971,433526.5449456994
437963,6b,393313.1196385971,433526.5449456994
12581,5c,391602.3798513406,470357.5268713371
3317,5c,321166.22430797166,486716.43698155845
84946,5c,386623.9550481422,420857.45570296905
347357,6a,393377.385726177,432413.8509429116
53934,5c,393377.385726177,432413.8509429116
53943,6a,393377.385726177,432413.8509429116
53952,6a,393377.385726177,432413.8509429116
53956,6a,393377.385726177,432413.8509429116
53959,6a,393377.385726177,432413.8509429116
53963,6a,393377.385726177,432413.8509429116
3120,6a,382308.173609504,414863.87129397516
3130,5c,382308.173609504,414863.87129397516
3132,5c,382308.173609504,414863.87129397516
211231,6a,398459.1005120663,456664.38098263077
159859,6a,398393.8885708319,457554.5165508515
52114,5c,398393.8885708319,457554.5165508515
52404,6a,398393.8885708319,457554.5165508515
52417,5c,398393.8885708319,457554.5165508515
52605,6a,398393.8885708319,457554.5165508515
52767,6a,398393.8885708319,457554.5165508515
52769,6b,398393.8885708319,457554.5165508515
127751,5c,395616.3747170981,431298.564288593
409575,6a,395616.3747170981,431298.564288593
7113,6a,395616.3747170981,431298.564288593
7118,6b,395616.3747170981,431298.564288593
328984,5c,398782.86632654665,442867.6963051775
328986,6a,398782.86632654665,442867.6963051775
328994,5c,398782.86632654665,442867.6963051775
360644,6a,398782.86632654665,442867.6963051775
48521,5c,398782.86632654665,442867.6963051775
48528,6a,398782.86632654665,442867.6963051775
48534,6a,398782.86632654665,442867.6963051775
48552,6a,398782.86632654665,442867.6963051775
48558,6b,398782.86632654665,442867.6963051775
48574,6b,398782.86632654665,442867.6963051775
48580,6a,398782.86632654665,442867.6963051775
48581,5c,398782.86632654665,442867.6963051775
48597,6a,398782.86632654665,442867.6963051775
36779,5c,399638.7320853552,455440.20834911044
346404,5c,392836.1549236592,423291.401694038
124329,5c,400425.4665211687,455106.4033411774
251053,6a,400425.4665211687,455106.4033411774
328317,6a,400425.4665211687,455106.4033411774
332632,5b,400425.4665211687,455106.4033411774
19531,5c,394812.3845573939,419617.2353678775
8041,5c,394812.3845573939,419617.2353678775
8069,6a,394812.3845573939,419617.2353678775
270679,5c,322637.93566657533,496707.82480863424
131962,6a,404106.39779088274,444204.35566274344
131974,5c,404106.39779088274,444204.35566274344
131981,6a,404106.39779088274,444204.35566274344
131995,6a,404106.39779088274,444204.35566274344
131997,5c,404106.39779088274,444204.35566274344
437967,6a,404106.39779088274,444204.35566274344
152585,6a,402584.2760177618,464119.4669388365
152605,5b,402584.2760177618,464119.4669388365
152608,6a,402584.2760177618,464119.4669388365
179968,5c,402584.2760177618,464119.4669388365
207472,5c,402584.2760177618,464119.4669388365
215458,5c,402584.2760177618,464119.4669388365
263201,6a,402584.2760177618,464119.4669388365
48791,6a,330564.84934162727,500809.64300812257
48802,5c,330564.84934162727,500809.64300812257
48806,6a,330564.84934162727,500809.64300812257
48821,6a,330564.84934162727,500809.64300812257
48822,5c,330564.84934162727,500809.64300812257
48826,6a,330564.84934162727,500809.64300812257
48828,5c,330564.84934162727,500809.64300812257
48834,5c,330564.84934162727,500809.64300812257
48835,6a,330564.84934162727,500809.64300812257
8906,6a,322183.0751361392,496715.54076153494
94143,6a,325858.06439492374,498880.34929628787
94215,5c,325858.06439492374,498880.34929628787
273162,5c,377099.4446542801,497334.48012708034
273165,5c,377099.4446542801,497334.48012708034
4504,5c,327692.4838090566,499852.5865074927
198470,6a,331616.9175874557,501684.0895818281
38249,5c,331616.9175874557,501684.0895818281
5028,6a,331616.9175874557,501684.0895818281
5032,5c,331616.9175874557,501684.0895818281
5039,6a,331616.9175874557,501684.0895818281
5043,6a,331616.9175874557,501684.0895818281
5052,6a,331616.9175874557,501684.0895818281
5055,6a,331616.9175874557,501684.0895818281
5069,5c,331616.9175874557,501684.0895818281
51353,6a,331616.9175874557,501684.0895818281
51354,6b,331616.9175874557,501684.0895818281
5911,6a,331748.39790513343,501793.41227817966
5917,6b,331748.39790513343,501793.41227817966
5930,5c,331748.39790513343,501793.41227817966
5933,6a,331748.39790513343,501793.41227817966
5939,6b,331748.39790513343,501793.41227817966
5942,6a,331748.39790513343,501793.41227817966
117748,6a,325998.77345114877,499545.82679369184
117749,6a,325998.77345114877,499545.82679369184
117766,5c,325998.77345114877,499545.82679369184
153206,6a,325998.77345114877,499545.82679369184
344393,6a,324165.70375682623,498685.5283776033
105484,6a,345418.9401178777,504947.9845866986
5375,5c,345418.9401178777,504947.9845866986
201210,5c,345810.75031213934,505165.8777458875
201212,5c,345810.75031213934,505165.8777458875
183924,5c,324301.1360381834,499017.1652725806
1303,6a,324236.18890796555,499018.24147022224
1304,6a,324236.18890796555,499018.24147022224
1305,6a,324236.18890796555,499018.24147022224
294208,6a,324106.29466979916,499020.3966306723
50047,5c,349221.11214256723,394632.6176774277
50048,5c,349221.11214256723,394632.6176774277
50965,6a,349221.11214256723,394632.6176774277
50967,6a,349221.11214256723,394632.6176774277
50968,5c,349221.11214256723,394632.6176774277
50970,5c,349221.11214256723,394632.6176774277
50972,6a,349221.11214256723,394632.6176774277
19589,6a,396265.4306446255,419170.7893730925
2431,6b,396265.4306446255,419170.7893730925
128470,5c,331237.52367873426,502357.5309364421
108698,6a,323390.0119115283,498921.052648154
108699,6a,323390.0119115283,498921.052648154
108700,5c,323390.0119115283,498921.052648154
108703,6a,323390.0119115283,498921.052648154
153224,6a,323390.0119115283,498921.052648154
1870,6a,331374.01375370123,502800.63884716085
1875,6a,331374.01375370123,502800.63884716085
1877,5c,331374.01375370123,502800.63884716085
1878,6a,331374.01375370123,502800.63884716085
1879,5c,331374.01375370123,502800.63884716085
1881,5c,331374.01375370123,502800.63884716085
1883,5c,331374.01375370123,502800.63884716085
94931,5c,322220.9381795718,498940.7977382075
227366,5c,322553.2228152213,499380.3355420346
160693,5c,323675.82985869446,500474.3934993687
3046,6a,326414.99677515513,505215.06356618274
7097,5c,329813.3675053953,506830.8766210971
7100,6a,329813.3675053953,506830.8766210971
7103,6a,329813.3675053953,506830.8766210971
7104,6a,329813.3675053953,506830.8766210971
107893,6a,328509.6778037426,506405.96682117274
183757,6a,328509.6778037426,506405.96682117274
196239,5c,328509.6778037426,506405.96682117274
249308,5c,328509.6778037426,506405.96682117274
249569,6a,328509.6778037426,506405.96682117274
6693,6a,328509.6778037426,506405.96682117274
6705,6b,328509.6778037426,506405.96682117274
73339,6a,328509.6778037426,506405.96682117274
7455,6a,395596.1884109844,410270.8305748453
7457,5b,395596.1884109844,410270.8305748453
184082,5c,335741.68725825835,508746.6407054567
238087,5c,335741.68725825835,508746.6407054567
238088,6a,335741.68725825835,508746.6407054567
156055,6a,316397.99942920683,500267.88385958876
156067,6a,316397.99942920683,500267.88385958876
6655,6b,328055.7857239952,506413.1074124301
418399,5c,315084.92227631586,499512.9975771664
418402,6a,315084.92227631586,499512.9975771664
201245,5c,329883.33853233693,507163.6760316193
9177,6a,329883.33853233693,507163.6760316193
259690,6a,316471.0668775343,500711.74447441136
259691,6a,316471.0668775343,500711.74447441136
418981,6a,324989.9326302615,505349.573369171
147181,6a,327805.2306062571,506973.534723036
339870,6a,327805.2306062571,506973.534723036
4190,6a,327805.2306062571,506973.534723036
250662,6b,325717.863502238,506228.013521141
51890,6a,325717.863502238,506228.013521141
51892,6a,325717.863502238,506228.013521141
108894,6a,330284.24076444877,507936.5695748816
109641,5c,330284.24076444877,507936.5695748816
51909,5c,330284.24076444877,507936.5695748816
51912,5c,330284.24076444877,507936.5695748816
145767,5c,350154.1105161041,388614.5104286189
172555,6a,350154.1105161041,388614.5104286189
19686,5b,350154.1105161041,388614.5104286189
19692,5c,350154.1105161041,388614.5104286189
19697,6a,350154.1105161041,388614.5104286189
19702,5c,350154.1105161041,388614.5104286189
19704,6a,350154.1105161041,388614.5104286189
19705,5c,350154.1105161041,388614.5104286189
19708,5c,350154.1105161041,388614.5104286189
19738,6a,350154.1105161041,388614.5104286189
19739,5c,350154.1105161041,388614.5104286189
19743,6a,350154.1105161041,388614.5104286189
19753,5c,350154.1105161041,388614.5104286189
234045,6a,350154.1105161041,388614.5104286189
234053,6a,350154.1105161041,388614.5104286189
291860,5c,333027.9503409347,509342.19077907223
4082,5c,324876.7176491108,506353.0904026794
4084,6a,324876.7176491108,506353.0904026794
4095,6a,324876.7176491108,506353.0904026794
162896,5c,328469.2887528746,507964.70176276343
227722,5b,328469.2887528746,507964.70176276343
249225,5c,328469.2887528746,507964.70176276343
332623,5c,328469.2887528746,507964.70176276343
51881,5c,328469.2887528746,507964.70176276343
5968,5c,328469.2887528746,507964.70176276343
5972,5c,328469.2887528746,507964.70176276343
5973,5c,328469.2887528746,507964.70176276343
5988,6a,328469.2887528746,507964.70176276343
5992,5c,328469.2887528746,507964.70176276343
6006,5c,328469.2887528746,507964.70176276343
85849,6a,401087.508352198,424287.18299054087
370391,6a,407190.7427583199,447100.8362701625
9279,5c,407190.7427583199,447100.8362701625
190332,6a,328918.49821086694,503505.97398350376
190334,5c,328918.49821086694,503505.97398350376
1225,5c,348045.1057844475,507699.3725032734
19549,6a,397188.6852746664,416388.6886806855
121460,6a,406841.0557896714,461787.1264232632
121461,6a,406841.0557896714,461787.1264232632
121462,5c,406841.0557896714,461787.1264232632
121466,6b,406841.0557896714,461787.1264232632
182178,5c,406841.0557896714,461787.1264232632
80314,5c,324026.38010744273,502026.673554834
80315,6a,324026.38010744273,502026.673554834
336514,5c,327363.08226165187,503641.76150905725
153542,5c,327364.85346530203,503753.0262962448
707,6a,327364.85346530203,503753.0262962448
725,6a,327364.85346530203,503753.0262962448
733,6a,327364.85346530203,503753.0262962448
32786,5c,405500.8256844549,431744.54057022557
288437,5c,322785.6712943518,501602.3055147354
60282,5c,322785.6712943518,501602.3055147354
66892,6a,322785.6712943518,501602.3055147354
432850,5c,332519.9985639596,505677.0948850566
251240,6a,330436.26251750777,505151.95282215904
127381,6a,407891.9310460519,459786.00422899716
182556,6a,407891.9310460519,459786.00422899716
195620,6a,407891.9310460519,459786.00422899716
203442,6a,407891.9310460519,459786.00422899716
203453,5b,407891.9310460519,459786.00422899716
203456,5c,407891.9310460519,459786.00422899716
35296,6a,407891.9310460519,459786.00422899716
294421,6a,325802.31899077125,503444.2856871481
294423,5c,325802.31899077125,503444.2856871481
339861,5c,325802.31899077125,503444.2856871481
340060,6b,325802.31899077125,503444.2856871481
340254,6a,325802.31899077125,503444.2856871481
128942,5c,406309.8487104986,467349.6542325822
131399,6a,406309.8487104986,467349.6542325822
131401,6a,406309.8487104986,467349.6542325822
318724,6b,406309.8487104986,467349.6542325822
346284,6a,406309.8487104986,467349.6542325822
120946,6a,318400.9115716772,499675.1852518781
288443,6b,318400.9115716772,499675.1852518781
51899,5c,330378.1986334886,505598.005110921
5805,5c,330378.1986334886,505598.005110921
5810,6a,330378.1986334886,505598.005110921
5812,5c,330378.1986334886,505598.005110921
497950,5c,326789.86523580813,504318.6825648347
4626,5c,320118.50371861056,501314.29100658745
4637,6a,320118.50371861056,501314.29100658745
419415,6a,389776.56418375194,501071.54432902776
419416,6a,389776.56418375194,501071.54432902776
114686,6a,414881.30192949774,445116.14137698465
114689,5c,414881.30192949774,445116.14137698465
474786,6a,329958.6808869113,512059.3888978703
238618,5c,403075.29780412145,411827.18188077817
238625,5b,403075.29780412145,411827.18188077817
238627,6a,403075.29780412145,411827.18188077817
45439,5c,327096.71550973895,511325.2820857696
225932,6b,415304.48967105884,456355.14625097613
489733,5b,409737.1748668946,422405.5533437797
298356,6a,326125.1358504301,511340.9481228816
298357,6a,326125.1358504301,511340.9481228816
298358,6a,326125.1358504301,511340.9481228816
374037,6a,326125.1358504301,511340.9481228816
377225,5c,326125.1358504301,511340.9481228816
136785,6b,415097.7068682251,439108.66629946255
259343,5c,415097.7068682251,439108.66629946255
262389,5c,415097.7068682251,439108.66629946255
314270,5b,415097.7068682251,439108.66629946255
36711,5c,415097.7068682251,439108.66629946255
468087,5c,415097.7068682251,439108.66629946255
60358,5c,415097.7068682251,439108.66629946255
60359,6a,415097.7068682251,439108.66629946255
66706,5c,415097.7068682251,439108.66629946255
3490,5c,335690.7501134518,514311.8478387323
3493,5c,335690.7501134518,514311.8478387323
160096,5c,403208.3023889758,410825.960461956
258774,6a,403208.3023889758,410825.960461956
258787,6a,403208.3023889758,410825.960461956
258791,5c,403208.3023889758,410825.960461956
258806,5b,403208.3023889758,410825.960461956
258817,6b,403208.3023889758,410825.960461956
6520,5c,403208.3023889758,410825.960461956
368117,6a,321560.45656770834,509636.5596227889
5439,5c,321560.45656770834,509636.5596227889
5449,6a,321560.45656770834,509636.5596227889
5457,6a,321560.45656770834,509636.5596227889
5458,6a,321560.45656770834,509636.5596227889
298353,6a,327758.5681935515,512205.0821562769
3453,6a,327758.5681935515,512205.0821562769
3456,5c,327758.5681935515,512205.0821562769
3459,6a,327758.5681935515,512205.0821562769
3462,5c,327758.5681935515,512205.0821562769
194239,6b,415825.84911876003,457247.0006626204
8362,5c,415825.84911876003,457247.0006626204
8367,5c,415825.84911876003,457247.0006626204
344463,5c,399368.643902998,405929.74936557584
91869,6a,399368.643902998,405929.74936557584
92532,6a,399368.643902998,405929.74936557584
298613,6a,331732.29175566725,513701.8134140433
57763,5c,324894.4706487259,511361.0890908658
785,5c,327373.5638050655,512433.800184694
786,6a,327373.5638050655,512433.800184694
93588,5b,327373.5638050655,512433.800184694
343018,6a,337778.1090968802,510721.55358368123
1511,5c,324685.8651596524,506578.82928988326
1077,5c,324622.8651631412,506691.165648861
183308,5c,324622.8651631412,506691.165648861
183310,5c,324622.8651631412,506691.165648861
183311,5c,324622.8651631412,506691.165648861
199714,5c,337585.2967472508,510835.48245454545
3320,5c,337585.2967472508,510835.48245454545
3331,6a,337585.2967472508,510835.48245454545
3334,5c,337585.2967472508,510835.48245454545
194979,5c,328476.27603159996,508409.7645825426
194981,6a,328476.27603159996,508409.7645825426
28387,5c,412315.5922073575,446332.6052699896
28391,5c,412315.5922073575,446332.6052699896
28392,5c,412315.5922073575,446332.6052699896
28393,5c,412315.5922073575,446332.6052699896
28398,6b,412315.5922073575,446332.6052699896
28400,5c,412315.5922073575,446332.6052699896
336122,5c,412315.5922073575,446332.6052699896
336124,6b,412315.5922073575,446332.6052699896
336129,6a,412315.5922073575,446332.6052699896
336131,6a,412315.5922073575,446332.6052699896
336133,5c,412315.5922073575,446332.6052699896
336137,6a,412315.5922073575,446332.6052699896
336142,6a,412315.5922073575,446332.6052699896
176139,6b,411676.0795016556,439321.4616754501
3140,5c,330567.26891005924,509490.336099545
3141,6a,330567.26891005924,509490.336099545
3143,6a,330567.26891005924,509490.336099545
3145,5c,330567.26891005924,509490.336099545
3151,6a,330567.26891005924,509490.336099545
488058,5b,396260.5271460005,492271.1041167084
220655,5c,351598.77176306566,512667.91633688495
226539,6a,351598.77176306566,512667.91633688495
226540,6a,351598.77176306566,512667.91633688495
226541,6a,351598.77176306566,512667.91633688495
226544,6a,351598.77176306566,512667.91633688495
4449,5c,351598.77176306566,512667.91633688495
4450,6a,351598.77176306566,512667.91633688495
4454,6a,351598.77176306566,512667.91633688495
490652,6b,351598.77176306566,512667.91633688495
193119,5c,322414.585301338,506505.6206494735
273391,5c,322414.585301338,506505.6206494735
368506,5c,322414.585301338,506505.6206494735
60343,5c,322414.585301338,506505.6206494735
130263,5c,412971.5504913948,446668.15840698674
130268,6b,412971.5504913948,446668.15840698674
130341,6b,412971.5504913948,446668.15840698674
130346,6b,412971.5504913948,446668.15840698674
130349,6a,412971.5504913948,446668.15840698674
175404,6a,412971.5504913948,446668.15840698674
28212,5b,412971.5504913948,446668.15840698674
28213,5c,412971.5504913948,446668.15840698674
28219,6a,412971.5504913948,446668.15840698674
28230,5c,412971.5504913948,446668.15840698674
28263,5c,412971.5504913948,446668.15840698674
28273,6b,412971.5504913948,446668.15840698674
298746,6a,337281.35010630207,512286.41755806434
294513,5c,320991.9403262738,506752.6470160488
7034,5c,320991.9403262738,506752.6470160488
7044,5c,320991.9403262738,506752.6470160488
7049,5c,320991.9403262738,506752.6470160488
7052,5c,320991.9403262738,506752.6470160488
7055,5c,320991.9403262738,506752.6470160488
7056,5c,320991.9403262738,506752.6470160488
7072,6a,320991.9403262738,506752.6470160488
7081,6a,320991.9403262738,506752.6470160488
488617,5c,320991.9403262738,506752.6470160488
6976,5c,320991.9403262738,506752.6470160488
6979,5c,320991.9403262738,506752.6470160488
6981,5c,320991.9403262738,506752.6470160488
154317,6b,408282.8827912242,423404.1238787808
182658,6a,408282.8827912242,423404.1238787808
347446,6a,408282.8827912242,423404.1238787808
491873,5c,327924.65989646246,510421.74419625045
466338,5b,398176.53144616104,407153.89884905436
419614,6b,321527.88391782105,507745.0647186097
227843,6a,322054.08563598274,508181.2223233511
227851,6a,322054.08563598274,508181.2223233511
