eastings,northings,crag_id,name_crag
219204.4992252532,466429.4104412679,9714,The Chasms
217734.6811212606,467378.27797966206,17566,Aldrick
238852.55089442807,395323.23268473573,15951,Craig Badrig
241893.3227397281,394775.29308989487,9476,Porthllechog (Bull Bay)
252180.03774969623,383420.6686201029,9237,Anglers Zawn (Benllech)
276593.2134402741,384282.24110585154,1005,Crinkle Crag Area
276523.7491074542,384172.73671148764,2546,Wonder Wall
353605.57373388304,461125.4802129568,12186,Ottergear
363402.20141952054,457810.7058362281,1264,Wolfhole Crag
368856.36401786475,440524.4533034307,17666,Kemple End
349084.2600950174,472745.7505058509,469,Warton Pinnacle Crag
348073.0806689654,475761.53178674856,467,Trowbarrow
365807.0079160973,428306.7549047108,1403,Billinge Hill Quarry
359230.21410135017,422796.2748427666,459,Denham Quarry
348630.07918521576,478871.0608963523,1407,Fairy Steps
353921.550926039,479593.90736886207,465,Farleton Crag
380974.63477658125,444464.47640586353,464,Witches' Quarry
372219.4638262982,474662.1379847473,2935,Raven Scar
377999.7847706872,468288.5188303022,1019,Oxenber
379689.303222013,465944.1335133703,3479,Buckhaw Brow Buttress
371706.75259431975,476223.049496148,611,Twistleton Scars
380732.15638453123,465049.51288255735,604,Giggleswick South
373981.6179680434,474540.55127606855,4148,Gaping Gill
379501.4998948693,467836.51013770164,1021,Pot Scar
378271.29058411217,470401.3183421211,1713,Crummackdale
361885.50286273274,416431.8862776772,327,Lester Mill Quarry
379771.36340786074,469726.86356986186,4049,Moughton Nab
378083.7382672363,472182.50100360124,2667,Beggar's Stile
383476.76269459276,464148.7029473422,602,Attermire Scar
344807.2826021754,486482.42933987686,1269,Slape Scar
376268.19435826957,423568.86886243994,324,Troy Quarry
370821.482195841,418147.9118128393,1106,Cadshaw Rocks
370820.78887233895,418036.65539482696,1105,Cadshaw Quarry
350914.6492240233,410525.4925116398,1127,Parbold Quarry
382404.46288840345,474611.8031275957,1640,Hull Pot
321114.9014106986,479928.43584433687,1459,Dunnerholme
369667.0821002805,413371.0413376292,329,Wilton 2
369997.13365682744,413257.65826775297,328,Wilton 1
371921.60471326386,414247.07877249405,326,Egerton Quarry
373112.1291899365,414240.0979905118,1432,Ousel's Nest
397417.2393235174,468347.68422257586,608,Kilnsey
400885.8155208441,446650.47444644384,12255,Farnhill Quarry
395016.25958284264,424846.1459619546,1104,Cross Stone Quarry
399182.0138033372,466344.2090265048,1338,Dib Scar
326146.87204775074,496649.8202022731,356,Blind Tarn Crag
330797.57044005475,499025.46483274887,12196,Yewdale Crag
329490.0638496444,498488.9982073568,8396,Blue Quarry
327465.90035291447,497852.9209300275,16777,Saddle Stone Quarry
395475.6642395874,422286.72527637664,1419,Lumbutts Quarry
398514.74783265055,427736.37670804583,546,Heptonstall
398184.67770415766,426957.6881041499,1112,Horsehold Scout
394812.8868277384,420062.2660986859,1421,Warland Quarry
403175.70499950106,460336.8147990486,1546,Air Scar Crag
377886.8539378408,416885.3403347324,1373,Harcles Hill Quarry
390026.0044495206,466688.91264323215,1645,Great Close Scar
391591.10956814827,464237.9197756887,605,Gordale Scar
392127.1086523642,433305.89967831003,17470,Widdop Drums
380726.0701858054,416093.96685883706,1382,Pinfold Quarry
392322.49968267954,431970.44885070005,1094,Upper Gorple
393313.1196385971,433526.5449456994,1554,Scout Crag
391602.3798513406,470357.5268713371,1342,Yew Cogar
321166.22430797166,486716.43698155845,1458,Eccle Riggs Bank Quarry (Donkey Rocks)
386623.9550481422,420857.45570296905,1427,Lee Quarry
393377.385726177,432413.8509429116,1015,Widdop
382308.173609504,414863.87129397516,1271,Deeply Vale
398459.1005120663,456664.38098263077,17125,Hellifield
398393.8885708319,457554.5165508515,548,Rylstone
395616.3747170981,431298.564288593,1553,Scout Hut Crag
398782.86632654665,442867.6963051775,542,Earl Crag
399638.7320853552,455440.20834911044,1017,Deer Gallows
392836.1549236592,423291.401694038,17821,Watty Quarry
400425.4665211687,455106.4033411774,3374,Embsay Crag
394812.3845573939,419617.2353678775,322,Summit Quarry
322637.93566657533,496707.82480863424,15811,Pen
404106.39779088274,444204.35566274344,1248,Hawkcliffe
402584.2760177618,464119.4669388365,3733,Hebden Gill
330564.84934162727,500809.64300812257,360,Tilberthwaite Quarry
322183.0751361392,496715.54076153494,362,Wallowbarrow Crag
325858.06439492374,498880.34929628787,368,Far Hill Crag
377099.4446542801,497334.48012708034,19667,Aisgill
327692.4838090566,499852.5865074927,1618,Great How Crag
331616.9175874557,501684.0895818281,357,Hodge Close Quarry
331748.39790513343,501793.41227817966,358,Parrock Quarry
325998.77345114877,499545.82679369184,367,Great Blake Rigg
324165.70375682623,498685.5283776033,21360,Foss How Crag
345418.9401178777,504947.9845866986,487,Iving Crag
345810.75031213934,505165.8777458875,1626,Calf Howe Crag
324301.1360381834,499017.1652725806,16065,Viz Crag
324236.18890796555,499018.24147022224,366,Burnt Crag
324106.29466979916,499020.3966306723,3245,Little Blake Rigg
349221.11214256723,394632.6176774277,3015,Taylor Park (Aviary Quarry)
396265.4306446255,419170.7893730925,321,Cow's Mouth Quarry
331237.52367873426,502357.5309364421,10394,Moss Rigg Quarry
323390.0119115283,498921.052648154,3505,"Troutal Gorge, Duddon Valley."
331374.01375370123,502800.63884716085,359,Cathedral Quarry/Black Hole
322220.9381795718,498940.7977382075,8974,Lower Brandy Crag
322553.2228152213,499380.3355420346,17804,Dropping Crag
323675.82985869446,500474.3934993687,12307,Castle How Crag
326414.99677515513,505215.06356618274,1821,Crinkle Gill
329813.3675053953,506830.8766210971,340,Scout Crags
328509.6778037426,506405.96682117274,344,Raven Crag (Langdale)
395596.1884109844,410270.8305748453,319,Shaw Quarry
335741.68725825835,508746.6407054567,16205,Heron Pike North Top [Rydal Fell]
316397.99942920683,500267.88385958876,3463,Beckfoot (Eskdale) Quarry
328055.7857239952,506413.1074124301,19085,White crag
315084.92227631586,499512.9975771664,23166,Milkingstead Wood Crag
329883.33853233693,507163.6760316193,341,White Ghyll
316471.0668775343,500711.74447441136,719,Bell Stand
324989.9326302615,505349.573369171,16188,Shelter Crags
327805.2306062571,506973.534723036,345,Gimmer Crag
325717.863502238,506228.013521141,346,Neckband Crag
330284.24076444877,507936.5695748816,353,Blea Crag
350154.1105161041,388614.5104286189,1057,Pex Hill Quarry
333027.9503409347,509342.19077907223,19941,Low Raven Crag
324876.7176491108,506353.0904026794,347,Flat Crags
328469.2887528746,507964.70176276343,342,Pavey Ark
401087.508352198,424287.18299054087,3182,Robin Hood Rocks
407190.7427583199,447100.8362701625,1547,Windgate Nick
328918.49821086694,503505.97398350376,16538,Miller Stands
348045.1057844475,507699.3725032734,486,Buckbarrow Crag
397188.6852746664,416388.6886806855,1356,Blackstone Edge
406841.0557896714,461787.1264232632,1336,Troller's Gill
324026.38010744273,502026.673554834,8395,Dod Crag
327363.08226165187,503641.76150905725,1615,Long Scar
327364.85346530203,503753.0262962448,350,Black Crag (Wrynose)
405500.8256844549,431744.54057022557,1247,Ogden Clough
322785.6712943518,501602.3055147354,725,Hardknott Crag
332519.9985639596,505677.0948850566,331,Raven Crag (Walthwaite)
330436.26251750777,505151.95282215904,3122,Upper Spout Crag
407891.9310460519,459786.00422899716,1246,Simons Seat
325802.31899077125,503444.2856871481,372,Gaitkins
406309.8487104986,467349.6542325822,1992,Great Wolfrey
318400.9115716772,499675.1852518781,727,Gate Crags
330378.1986334886,505598.005110921,1616,Oak Howe Crag
326789.86523580813,504318.6825648347,8596,Black Wars
320118.50371861056,501314.29100658745,720,Hare Crags
389776.56418375194,501071.54432902776,22126,"Kisdon Force, Swaledale"
414881.30192949774,445116.14137698465,1561,Burley Woodhead Quarry
329958.6808869113,512059.3888978703,25019,The Wizard Stone
403075.29780412145,411827.18188077817,1414,Nab End
327096.71550973895,511325.2820857696,2335,Sergeant Crag Slabs
415304.48967105884,456355.14625097613,1915,Brandrith
409737.1748668946,422405.5533437797,22264,The Party Boulder
326125.1358504301,511340.9481228816,2477,Cam Crags Borrowdale
415097.7068682251,439108.66629946255,537,Baildon Bank
335690.7501134518,514311.8478387323,448,Eagle Crag (Grisedale)
403208.3023889758,410825.960461956,318,Pule Hill Rocks
321560.45656770834,509636.5596227889,523,Kern Knotts
327758.5681935515,512205.0821562769,756,Eagle Crag (Borrowdale)
415825.84911876003,457247.0006626204,1549,Thruscross
399368.643902998,405929.74936557584,1102,Den Lane Quarry
331732.29175566725,513701.8134140433,20049,Birk Crag
324894.4706487259,511361.0890908658,761,"Raven Crag, Combe Ghyll"
327373.5638050655,512433.800184694,757,Bleak How
337778.1090968802,510721.55358368123,18949,Heirloom
324685.8651596524,506578.82928988326,348,North Buttress/Cambridge Crag
324622.8651631412,506691.165648861,349,Bowfell Buttress
337585.2967472508,510835.48245454545,481,Dove Crag (Dovedale)
328476.27603159996,508409.7645825426,4139,Bright Beck Crag
412315.5922073575,446332.6052699896,1069,Ilkley (Rocky Valley)
411676.0795016556,439321.4616754501,1201,Gilstead
330567.26891005924,509490.336099545,352,Deer Bield Crag
396260.5271460005,492271.1041167084,25463,Ellerkin Scar
351598.77176306566,512667.91633688495,485,Gouther Crags
322414.585301338,506505.6206494735,724,Esk Buttress (Dow Crag)
412971.5504913948,446668.15840698674,547,Ilkley (Cow and Calf)
337281.35010630207,512286.41755806434,479,Mart Crag
320991.9403262738,506752.6470160488,681,Scafell East Buttress
320991.9403262738,506752.6470160488,680,Scafell Crag
408282.8827912242,423404.1238787808,1241,Woodhouse Scar
327924.65989646246,510421.74419625045,25608,Long Crag (Greenup Gill)
398176.53144616104,407153.89884905436,1411,Rough Knarr
321527.88391782105,507745.0647186097,717,Piers Gill Crag
322054.08563598274,508181.2223233511,718,Round How
316923.4025981021,507715.3714404206,663,Overbeck
313577.30032834684,505662.8446736892,664,"Buckbarrow, Wasdale"
321114.5893472696,510089.4518604382,662,The Napes
321120.37168024114,510423.24554184056,521,Gable Crag
415672.73330401425,463811.14900138276,10876,Crocodile Crag
413222.9796290101,473817.5608330567,1537,Sypeland
325436.35045928904,512799.02258850366,760,Intake Ridge/Glaciated Slab
401091.4715362513,405151.0042108914,943,Pots and Pans Quarries
319964.01268897473,510999.91813630273,520,Boat Howe Crags
416387.5023032845,465260.0670228107,1555,Panorama Crag (Pateley Bridge)
330919.4515292375,515606.0677997839,1623,Thackmell Crags
332288.3280672753,516253.2197950331,444,Swirl Crags
437893.0904539749,451476.9175764434,1629,Crimple Beck Crag
437637.56124011806,442462.1580876247,1873,Hetchell
422440.5874524192,444478.648720528,540,Caley Crags
419484.36162960605,444242.89712001523,9473,West Chevin Boulders
421038.4108307882,463943.5524866388,18766,Bat Buttress
420582.7925376753,463385.182467498,18767,Crow Crag
422458.7310103738,467955.8155796488,544,Eavestone Crag
420706.75839596294,464943.4675201245,538,Brimham Rocks
450730.00105586037,483646.3882707412,1079,Whitestone Cliffe
419970.8339747695,468723.3353775117,1548,Upper Huller Stones (Skell Gill)
460824.7599898653,508696.4262225975,1083,Park Nab
459384.52219242486,509790.3573887851,1086,Captain Cook
413405.4120588462,500967.89819756185,2886,Hagg Wood
403015.27305170556,401814.14430839993,1714,Rob's Rocks
419709.7665995372,389838.3218749627,136,Dovestone Tor
402816.4577154389,401591.5170874305,1335,Wilderness Rocks
427110.1714225736,386203.2382184547,889,Wyming Brook
404410.29583868285,399145.0976750897,121,Tintwistle Knarr Quarry
407733.24769927864,395811.6573048805,3924,Yellowslacks
495772.36455490865,502282.8831809296,10411,Stoupe Brow
407203.39240754023,394920.80415492196,12118,Shelf Benches
420787.53062152286,386616.5288171905,886,Ladybower Quarry
404678.91998453636,395807.72828263225,934,Blackshaw Quarry
498515.06014009565,501561.9132247701,17376,Smugglers Terrace
463198.96866964025,501049.76921155327,8378,Middle Head Crag
453823.4236623083,503267.0192594754,8403,Cringle Crag
455380.65098005446,503285.5830607957,1621,Cold Moor
455895.6519136658,503625.69176464446,1082,Wainstones
456025.41115126613,503627.2773812943,8096,Broughton Bank
456866.082079381,503860.2087475449,17025,Landslip
466172.2803207764,501982.0538040303,8110,Esklets
429567.17774653353,397677.2398446765,85,Wharncliffe Crags
449606.60761542874,410973.6073224124,25089,Craig Galch
471204.2859837565,487255.88790895836,8539,Ravenswick Quarry
415175.0687028233,475937.6069013437,23734,Arnagill Valley
413786.23209793936,482053.04135636764,549,Slipstones
412480.77440392895,482716.961756718,539,Brown Beck Crag
446005.84182838094,499843.4488954897,1088,Beacon Scar
451974.56778049876,500352.3303021918,1467,Scugdale - Barker's Crags
446390.93513692555,500292.44610462873,18386,Scarth Wood Pinnacle
451648.68560480693,500459.9297943951,1081,Scugdale - Scot Crags
471329.9162994256,495938.45110448706,9651,Thorgill
451251.6766944166,501123.16541455744,11852,Snotterdale
457294.28936938895,500749.57700489287,8066,Tranmire
468820.20978607103,498571.0800630505,19594,Kettle Howe
467639.5703262892,499332.5375659341,3452,Round Crag
467048.5848892515,499769.0123149612,19560,Gill Wath
459227.52145926014,501887.0038312691,9716,Botton Head
413265.40247315535,412067.12275733834,1282,Honley Quarry
404007.14245506306,405263.763115339,135,Standing Stones
403676.14931750105,404818.48070165364,122,The Ravenstones
461015.57575889805,513818.21453775954,1089,Highcliffe Nab
405668.23197957897,401482.75283476803,132,Laddow Rocks
407594.117859246,399816.5875529641,928,Crowden Great Quarry
402815.1220357113,403927.8685970832,108,Dovestones Edge
407328.74888859986,399816.17529442,930,Brockholes Quarry
406399.6616809605,400037.35829977086,16067,Black Tor
408127.11692707293,398482.40680968214,933,Rollick Stones
402683.21834984067,402703.99044780707,1648,Charnel Stones
251683.89402445997,350147.83411006967,875,Craig Yr Ogof (Cwm Silyn)
255083.59170625883,349376.116338156,818,Craig Cwm Trwsgl
254266.26498486553,353408.5779367182,12269,Lech Drws Y Coed
254484.1598281745,353958.59655582637,2587,Craig y Bera
255683.49317590395,353699.71795923886,12271,Clogwyn y Garreg
255063.87032453206,355388.2842025984,858,Castell Cidwm
254496.2029206568,341044.52461351047,819,Craig y Gesail (Tremadog)
259774.04648270883,353689.739001903,859,Llechog (Cwm Clogwyn)
255816.53675621218,340225.5728284893,817,Craig y Castell (Tremadog)
260030.2506846374,355574.70683815057,457,Clogwyn Du'r Arddu (Cloggy)
256904.83025528878,340638.41746513074,6,Craig Pant Ifan (Tremadog)
261953.05997177606,350175.6872652077,813,Craig y Llyn
261169.85285144323,343964.46213220747,9436,Craig Nant y Fedw
261567.5227421905,355418.75684607535,696,Clogwyn y Ddysgl
262511.6493692319,353276.55166862323,1214,Lliwedd
261385.8812429186,356091.9206197076,695,Cyrn Las (Gyrn Las)
262218.35089717316,345381.4429881572,2035,Carreg Bengam Bach
260044.50068152286,358357.3159921664,1782,Nant Peris Quarry
261338.2183579466,356761.2162806902,16864,Craig Simdde  Sian
260181.62434177045,358464.6328438967,10096,Craig Y Ddol
261405.17889849018,356759.2794749122,784,Craig Cwm Glas Bach
280243.98797777505,288918.2750701895,19722,Lluest y Graig
319200.2959420773,359664.71510077966,420,Pot Hole Quarry (Three Springs)
319342.3914322568,336184.3340079881,428,Pandy Outcrop
263605.3880904456,356362.2081831218,706,Esgair Maen Gwyn (Scimitar Ridge)
263799.9643092945,356134.04148877726,705,Clogwyn Blaen Coed
264115.8939028926,355457.17624936387,9439,Carreg Gwalch
265201.3902330085,353534.1775573669,811,Clogwyn y Bustach
261479.84977136817,361655.198362667,2751,The Pillar of Elidir
263815.216984694,359027.8554231917,2323,Devils Kitchen (Cwm Idwal) - (Clogwyn y Geifr)
264596.34892158397,358226.4903269858,2156,Clogwyn Du Ymhen Y Glyder
264468.7644952211,358452.73170221713,497,Glyder Fawr crag
264548.28345848026,358895.74906922696,496,Idwal Slabs (aka Cwm Idwal)
264943.59088798246,358661.95263294555,2157,Cwm Cneifion
264812.86403822206,358776.9570151244,12238,Sub Cneifion Rib
265670.4989646275,358307.56423686544,494,Glyder Fach
265102.52464519325,359548.00322137825,495,Clogwyn y Tarw (The Gribin Facet)
267307.1655220447,344793.1380573433,810,Clogwyn y Bustach (Moelwyns)
265063.8218323197,360550.9414782706,525,Craig Braich Ty Du (Arm of the Black House)
267929.6240997935,345443.8746399489,2720,Craig Yr Wrysgan
265774.85101348994,359640.42481363507,493,Clogwyn Bochlwyd
268408.5723843536,345764.67897271994,865,Craig y Clipiau (Moelwyns)
266504.76246843464,359397.38896951,491,Tryfan
266389.54220406443,360068.49261276616,492,Milestone Buttress
267219.32568888925,358598.32294997753,22272,Drws Nodded
269005.337487465,323152.9787230497,2264,Craig y Merched
267608.19445718033,321410.05051641713,19676,Craig y Fotty / Clogau Bontdu
268837.3741442241,321933.16474655404,20931,Craig y Goedwig
282729.15131269,338159.94251440524,10323,Craig Y Hyrddod
283210.4392304508,338593.43926950725,10322,Pen Tyrau
225756.38277594905,375518.2614515528,617,Rhoscolyn
261323.98972468762,316465.3794344732,17422,Barmouth Pinacl
283546.4858746138,338585.30893220636,10321,Daear Fawr
284003.5701436371,338017.81610869704,2712,Simdde Ddu
284065.4380931341,337793.73954009666,17432,Bryn y Dyfrgi
284197.2072131728,337679.2788238832,10305,Y Castell
225104.2977820507,377769.4873701702,8894,Trearddur Bay
277031.3478509993,378037.5814319329,1011,Notice Board Crag
275611.2353760223,317636.56153177196,2142,Tyddyn Garreg
277163.6036169421,383154.36183589214,1572,Tramstation Crag
232438.1930492655,341093.1505486315,17946,Carreg Lefain
231975.645674122,341331.95869867003,18087,Gwylwyr Quarry
265983.4610788542,362306.1572752375,527,Craig Ddaear (Crag of the Earth)
270530.8298191756,354723.1148395594,1916,Carnedd Moel Siabod
269805.5613098786,357636.8340677546,1634,RAC Boulders
266936.5906649969,336232.4508654501,11589,Craig y Gwynt
270611.9233199991,357726.29977399635,12176,Creigiau Llynnau Mymbyr
265609.3805800219,334488.26157723967,19188,Ysgyfarnagod
268716.478207241,361896.4355906687,528,Carreg Mianog
268789.46658072015,362117.05947783234,23338,Booze Fighter's Buttress
261310.9918519032,330157.245415973,19189,Craig y Ffridd
268756.15903299814,363342.4186639593,529,Craig Yr Ogof (Cliff of the Cave)
265354.8595246341,332603.06881672755,19824,Clip
265348.6590524947,332380.6202975065,19825,Craig Swn y Nant
272811.5489457976,344644.477476901,22466,Clogwyn Garw
263817.9288942845,330642.5368965085,2927,Carreg y Saeth
269433.94071437983,363657.803489678,530,Craig Yr Ysfa
265320.75897870027,331379.6027811083,9957,Mur Cyddiedig
265663.51074659475,331592.68275112397,19119,Ysgor y Gwyn
265727.7305979325,331479.5876842375,19118,Mur y Tonnau
266480.4576789451,331903.96795124497,19828,Craig Wion (Central Edge)
263042.78413675824,346025.79433040344,16553,Y Graig Wen
261810.1494917762,356858.904932521,785,Gravestones/ Hidden Wall/ Yr Ochr Wen/ Twll Tin
256666.97749785287,361908.26908926497,24744,Fachwen
262259.6864920941,356178.05242892547,697,Craig y Rhaeadr
262007.824292121,356741.89031291916,786,Clogwyn Llo (aka Cwm Glas Facet)
236825.57078485787,345507.7042115963,10071,Craig Y Cwm
261826.18564531094,357415.03842959506,204,Craig Ddu
262466.97469755297,356394.73735210084,698,Ettws Isaf
259631.36610439274,360261.87662597385,634,Never Never Land
263944.86323823966,351788.58899151965,2589,Craig Penmaen Brith
262087.58875868222,357184.8698713548,202,Clogwyn y Grochan
262023.83692749956,357298.02402022533,17268,BWTRES BACH
259698.2781507343,360259.9151809284,633,Serengeti
259895.75935425353,360142.80990540615,636,Twll Mawr
259373.52062363256,360603.41102958977,9,Dali's Hole
259832.10227927694,360255.995096016,1783,The Lost World/Heaven Walls
262798.6181877459,356273.9150132145,699,Dinas Mot
262160.94226496,357405.39707473747,203,Drws y Gwynt
262419.167902875,357064.0201530907,201,Carreg Wastad
259574.242665669,360597.5184580917,627,California
263509.9251529633,355363.07098166447,703,Clogwyn Gafr (aka Craig Fach)
264423.4938141579,352108.9937506435,3852,Clogwyn y Fulfran (Cormorant Rock)
259781.48143541304,360814.0874706954,10,Australia
262884.6782883671,356939.3603245194,4,Dinas Cromlech
265295.96173081425,330489.8105598749,10315,Y Grisiau
265773.4204664594,330699.1484994748,19116,Y Clawdd
