index,time,dc,bytes
571,2021-03-13 11:14:23,206,4.0
572,2021-03-13 11:14:34,206,206.0
573,2021-03-13 11:14:45,206,206.0
574,2021-03-13 11:15:16,250,206.0
575,2021-03-13 11:15:27,250,250.0
576,2021-03-13 11:15:38,250,250.0
577,2021-03-13 11:16:11,371,250.0
578,2021-03-13 11:16:22,371,371.0
579,2021-03-13 11:16:33,371,371.0
580,2021-03-13 11:17:07,294,371.0
581,2021-03-13 11:17:19,294,294.0
582,2021-03-13 11:17:29,294,294.0
583,2021-03-13 11:18:03,294,294.0
584,2021-03-13 11:18:13,294,294.0
585,2021-03-13 11:18:24,294,294.0
586,2021-03-13 11:18:57,165,294.0
587,2021-03-13 11:19:08,165,165.0
588,2021-03-13 11:19:19,165,165.0
589,2021-03-13 11:19:52,163,165.0
590,2021-03-13 11:20:03,163,163.0
591,2021-03-13 11:20:14,163,163.0
592,2021-03-13 11:20:54,250,250.0
593,2021-03-13 11:21:05,250,250.0
594,2021-03-13 11:21:16,250,250.0
595,2021-03-13 11:21:49,450,450.0
596,2021-03-13 11:21:59,450,450.0
597,2021-03-13 11:22:11,450,450.0
598,2021-03-13 11:22:50,228,450.0
599,2021-03-13 11:23:01,228,228.0
600,2021-03-13 11:23:12,228,228.0
601,2021-03-13 11:23:52,144,144.0
602,2021-03-13 11:24:03,144,144.0
603,2021-03-13 11:24:14,144,144.0
604,2021-03-13 11:24:47,103,144.0
605,2021-03-13 11:24:58,103,103.0
606,2021-03-13 11:25:09,103,103.0
607,2021-03-13 11:25:48,227,103.0
608,2021-03-13 11:25:59,227,227.0
609,2021-03-13 11:26:10,227,227.0
610,2021-03-13 11:26:43,294,227.0
611,2021-03-13 11:26:54,294,294.0
612,2021-03-13 11:27:05,294,294.0
613,2021-03-13 11:27:45,336,294.0
614,2021-03-13 11:27:57,336,336.0
615,2021-03-13 11:28:08,336,336.0
616,2021-03-13 11:28:41,2278,2278.0
617,2021-03-13 11:28:51,2278,2278.0
618,2021-03-13 11:29:02,2278,2278.0
619,2021-03-13 11:29:42,2303,2278.0
620,2021-03-13 11:29:53,2303,2303.0
621,2021-03-13 11:30:04,2303,2303.0
622,2021-03-13 11:30:43,695,2303.0
623,2021-03-13 11:30:54,695,695.0
624,2021-03-13 11:31:05,695,695.0
625,2021-03-13 11:31:38,403,695.0
626,2021-03-13 11:31:49,403,403.0
627,2021-03-13 11:32:00,403,403.0
628,2021-03-13 11:32:40,578,403.0
629,2021-03-13 11:32:52,578,578.0
630,2021-03-13 11:33:03,578,578.0
631,2021-03-13 11:33:41,2267,578.0
632,2021-03-13 11:33:52,2267,2267.0
633,2021-03-13 11:34:03,2267,2267.0
634,2021-03-13 11:34:36,1597,1597.0
635,2021-03-13 11:34:47,1597,1597.0
636,2021-03-13 11:34:57,1597,1597.0
637,2021-03-13 11:35:37,2282,1597.0
638,2021-03-13 11:35:48,2282,2282.0
639,2021-03-13 11:35:59,2282,2282.0
640,2021-03-13 11:36:38,2150,2282.0
641,2021-03-13 11:36:49,2150,2150.0
642,2021-03-13 11:37:00,2150,2150.0
643,2021-03-13 11:37:40,2099,2099.0
644,2021-03-13 11:37:50,2099,2099.0
645,2021-03-13 11:38:01,2099,2099.0
646,2021-03-13 11:38:34,2193,2099.0
647,2021-03-13 11:38:45,2193,2193.0
648,2021-03-13 11:38:56,2193,2193.0
649,2021-03-13 11:39:29,2120,2193.0
650,2021-03-13 11:39:40,2120,2120.0
651,2021-03-13 11:39:51,2120,2120.0
652,2021-03-13 11:40:30,358,2120.0
653,2021-03-13 11:40:41,358,358.0
654,2021-03-13 11:40:52,358,358.0
655,2021-03-13 11:41:25,412,358.0
656,2021-03-13 11:41:36,412,412.0
657,2021-03-13 11:41:47,412,412.0
658,2021-03-13 11:42:26,286,412.0
659,2021-03-13 11:42:37,286,286.0
660,2021-03-13 11:42:49,286,286.0
661,2021-03-13 11:45:29,396,5.0
662,2021-03-13 11:46:06,1117,396.0
663,2021-03-13 11:46:17,1117,1117.0
664,2021-03-13 11:46:28,1117,1117.0
665,2021-03-13 11:47:02,2299,1117.0
666,2021-03-13 11:47:13,2299,2299.0
667,2021-03-13 11:47:24,2299,2299.0
668,2021-03-13 11:48:04,540,1117.0
669,2021-03-13 11:48:43,1062,540.0
670,2021-03-13 11:48:54,1062,1062.0
671,2021-03-13 11:49:05,1062,1062.0
672,2021-03-13 11:49:44,424,1062.0
673,2021-03-13 11:49:55,424,424.0
674,2021-03-13 11:50:06,424,424.0
675,2021-03-13 11:50:45,374,424.0
676,2021-03-13 11:50:56,374,374.0
677,2021-03-13 11:51:07,374,374.0
678,2021-03-13 11:51:41,2198,374.0
679,2021-03-13 11:51:52,2198,2198.0
680,2021-03-13 11:52:03,2198,2198.0
681,2021-03-13 11:52:36,367,367.0
682,2021-03-13 11:52:47,367,367.0
683,2021-03-13 11:52:58,367,367.0
684,2021-03-13 11:53:37,2303,367.0
685,2021-03-13 11:53:48,2303,2303.0
686,2021-03-13 11:53:59,2303,2303.0
687,2021-03-13 11:54:32,521,2303.0
688,2021-03-13 11:54:43,521,521.0
689,2021-03-13 11:54:54,521,521.0
690,2021-03-13 11:55:34,755,521.0
691,2021-03-13 11:55:45,755,755.0
692,2021-03-13 11:55:56,755,755.0
693,2021-03-13 11:56:28,208,755.0
694,2021-03-13 11:56:39,208,208.0
695,2021-03-13 11:56:50,208,208.0
696,2021-03-13 11:57:23,252,252.0
697,2021-03-13 11:57:33,252,252.0
698,2021-03-13 11:57:44,252,252.0
699,2021-03-13 11:58:24,531,252.0
700,2021-03-13 11:58:35,531,531.0
701,2021-03-13 11:58:46,531,531.0
702,2021-03-13 11:59:25,572,531.0
703,2021-03-13 11:59:36,572,572.0
704,2021-03-13 11:59:47,572,572.0
705,2021-03-13 12:00:27,302,572.0
706,2021-03-13 12:00:39,302,302.0
707,2021-03-13 12:00:50,302,302.0
708,2021-03-13 12:01:23,289,302.0
709,2021-03-13 12:01:34,289,289.0
710,2021-03-13 12:01:45,289,289.0
711,2021-03-13 12:02:18,208,208.0
712,2021-03-13 12:02:29,208,208.0
713,2021-03-13 12:02:39,208,208.0
714,2021-03-13 12:03:19,252,208.0
715,2021-03-13 12:03:30,252,252.0
716,2021-03-13 12:03:41,252,252.0
717,2021-03-13 12:04:13,375,252.0
718,2021-03-13 12:04:24,375,375.0
719,2021-03-13 12:04:35,375,375.0
720,2021-03-13 12:05:08,749,375.0
721,2021-03-13 12:05:19,749,749.0
722,2021-03-13 12:05:30,749,749.0
723,2021-03-13 12:06:03,771,749.0
724,2021-03-13 12:06:14,771,771.0
725,2021-03-13 12:06:25,771,771.0
726,2021-03-13 12:06:58,509,509.0
727,2021-03-13 12:07:09,509,509.0
728,2021-03-13 12:07:20,509,509.0
729,2021-03-13 12:07:59,414,509.0
730,2021-03-13 12:08:10,414,414.0
731,2021-03-13 12:08:21,414,414.0
732,2021-03-13 12:08:54,445,445.0
733,2021-03-13 12:09:05,445,445.0
734,2021-03-13 12:09:15,445,445.0
735,2021-03-13 12:09:55,500,445.0
736,2021-03-13 12:10:06,500,500.0
737,2021-03-13 12:10:17,500,500.0
738,2021-03-13 12:10:50,1834,1834.0
739,2021-03-13 12:11:00,1834,1834.0
740,2021-03-13 12:11:11,1834,1834.0
741,2021-03-13 12:11:44,2115,1834.0
742,2021-03-13 12:11:55,2115,2115.0
743,2021-03-13 12:12:06,2115,2115.0
744,2021-03-13 12:12:45,1332,2115.0
745,2021-03-13 12:12:56,1332,1332.0
746,2021-03-13 12:13:07,1332,1332.0
747,2021-03-13 12:13:47,2008,2008.0
748,2021-03-13 12:13:58,2008,2008.0
749,2021-03-13 12:14:09,2008,2008.0
750,2021-03-13 12:14:48,1443,2008.0
751,2021-03-13 12:14:59,1443,1443.0
752,2021-03-13 12:15:10,1443,1443.0
753,2021-03-13 12:15:43,294,1443.0
754,2021-03-13 12:15:54,294,294.0
755,2021-03-13 12:16:05,294,294.0
756,2021-03-13 12:16:38,554,554.0
757,2021-03-13 12:16:48,554,554.0
